Fighter Name,Height,Reach,Wins,Losses,Age,Weight,Fight_ID,Result,Sig_Strikes,Takedowns,Knockdowns,Control_Time,Sub_Attempts,Opp_Sig_Strikes,Opp_Takedowns,Opp_Knockdowns,Opp_Control_Time,Opp_Sub_Attempts,Round,Fighter_Link
Charles Oliveira,70,74,35,10,32,155.0,1,1,73,0,0,5:41,3,58,0,1,0:35,0,3,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,70,74,35,10,32,155.0,2,1,30,0,1,0:39,2,21,0,1,0:13,0,1,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,70,74,35,10,33,155.0,3,0,19,0,0,0:42,0,30,2,1,5:05,1,2,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,70,74,35,10,33,155.0,4,1,26,0,1,0:31,0,12,0,0,2:44,0,1,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,70,74,35,10,34,155.0,5,0,19,0,0,2:32,4,49,2,0,8:41,0,3,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,70,74,35,10,35,155.0,6,1,88,5,0,14:52,2,84,0,0,1:59,0,5,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Shavkat Rakhmonov,73,77,19,0,26,170.0,1,1,21,1,0,3:25,1,6,0,0,0:58,0,2,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,73,77,19,0,27,170.0,2,1,13,1,1,0:52,0,10,0,0,0:44,0,1,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,73,77,19,0,27,170.0,3,1,19,2,0,9:06,1,11,0,0,0:07,0,2,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,73,77,19,0,28,170.0,4,1,113,0,0,3:43,1,69,0,0,1:12,0,3,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,73,77,19,0,29,170.0,5,1,28,1,0,7:45,2,16,0,0,0:00,0,2,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,73,77,19,0,30,170.0,6,1,37,2,0,11:41,0,42,1,0,2:32,2,5,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Song Kenan,72,71,22,9,31,170.0,1,0,14,0,0,0:00,0,17,0,1,0:28,0,1,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
