Fighter Name,Fighter A,Fighter B,Result,Fight_ID,Fighter_Link
Charles Oliveira,Charles Oliveira,Dustin Poirier,1,1,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,Charles Oliveira,Justin Gaethje,1,2,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,Charles Oliveira,Islam Makhachev,0,3,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,Charles Oliveira,Beneil Dariush,1,4,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,Charles Oliveira,Arman Tsarukyan,0,5,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Charles Oliveira,Charles Oliveira,Michael Chandler,1,6,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Shavkat Rakhmonov,Shavkat Rakhmonov,Michel Prazeres,1,1,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,Shavkat Rakhmonov,Carlston Harris,1,2,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,Shavkat Rakhmonov,Neil Magny,1,3,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,Shavkat Rakhmonov,Geoff Neal,1,4,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,Shavkat Rakhmonov,Stephen Thompson,1,5,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Shavkat Rakhmonov,Shavkat Rakhmonov,Ian Machado Garry,1,6,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5
Song Kenan,Song Kenan,Max Griffin,0,1,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Song Kenan,Song Kenan,Ian Machado Garry,0,2,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Song Kenan,Song Kenan,Rolando Bedoya,1,3,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Song Kenan,Song Kenan,Kevin Jousset,0,4,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Song Kenan,Song Kenan,Ricky Glenn,1,5,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Song Kenan,Song Kenan,Muslim Salikhov,0,6,http://www.ufcstats.com/fighter-details/32490e80ddab1e5a
Arman Tsarukyan,Arman Tsarukyan,Joel Alvarez,1,1,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Arman Tsarukyan,Arman Tsarukyan,Mateusz Gamrot,0,2,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Arman Tsarukyan,Arman Tsarukyan,Damir Ismagulov,1,3,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Arman Tsarukyan,Arman Tsarukyan,Joaquim Silva,1,4,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Arman Tsarukyan,Arman Tsarukyan,Beneil Dariush,1,5,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Arman Tsarukyan,Arman Tsarukyan,Charles Oliveira,1,6,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Beneil Dariush,Beneil Dariush,Scott Holtzman,1,1,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Beneil Dariush,Beneil Dariush,Diego Ferreira,1,2,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Beneil Dariush,Beneil Dariush,Tony Ferguson,1,3,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Beneil Dariush,Beneil Dariush,Mateusz Gamrot,1,4,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Beneil Dariush,Beneil Dariush,Charles Oliveira,0,5,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Beneil Dariush,Beneil Dariush,Arman Tsarukyan,0,6,http://www.ufcstats.com/fighter-details/08af939f41b5a57b
Dustin Poirier,Dustin Poirier,Conor McGregor,1,1,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Poirier,Dustin Poirier,Charles Oliveira,0,2,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Poirier,Dustin Poirier,Michael Chandler,1,3,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Poirier,Dustin Poirier,Justin Gaethje,0,4,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Poirier,Dustin Poirier,Benoit Saint Denis,1,5,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Poirier,Dustin Poirier,Islam Makhachev,0,6,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Geoff Neal,Geoff Neal,Neil Magny,0,1,http://www.ufcstats.com/fighter-details/b997be68943010fc
Geoff Neal,Geoff Neal,Santiago Ponzinibbio,1,2,http://www.ufcstats.com/fighter-details/b997be68943010fc
Geoff Neal,Geoff Neal,Vicente Luque,1,3,http://www.ufcstats.com/fighter-details/b997be68943010fc
Geoff Neal,Geoff Neal,Shavkat Rakhmonov,0,4,http://www.ufcstats.com/fighter-details/b997be68943010fc
Geoff Neal,Geoff Neal,Ian Machado Garry,0,5,http://www.ufcstats.com/fighter-details/b997be68943010fc
Geoff Neal,Geoff Neal,Rafael Dos Anjos,1,6,http://www.ufcstats.com/fighter-details/b997be68943010fc
Neil Magny,Neil Magny,Gilbert Burns,0,1,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Neil Magny,Neil Magny,Phil Rowe,1,2,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Neil Magny,Neil Magny,Ian Machado Garry,0,3,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Neil Magny,Neil Magny,Mike Malott,1,4,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Neil Magny,Neil Magny,Michael Morales,0,5,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Neil Magny,Neil Magny,Carlos Prates,0,6,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Dan Hooker,Dan Hooker,Nasrat Haqparast,1,1,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Hooker,Dan Hooker,Islam Makhachev,0,2,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Hooker,Dan Hooker,Arnold Allen,0,3,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Hooker,Dan Hooker,Claudio Puelles,1,4,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Hooker,Dan Hooker,Jalin Turner,1,5,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Dan Hooker,Dan Hooker,Mateusz Gamrot,1,6,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3
Rafael Dos Anjos,Rafael Dos Anjos,Renato Moicano,1,1,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Rafael Dos Anjos,Rafael Dos Anjos,Rafael Fiziev,0,2,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Rafael Dos Anjos,Rafael Dos Anjos,Bryan Barberena,1,3,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Rafael Dos Anjos,Rafael Dos Anjos,Vicente Luque,0,4,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Rafael Dos Anjos,Rafael Dos Anjos,Mateusz Gamrot,0,5,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Rafael Dos Anjos,Rafael Dos Anjos,Geoff Neal,0,6,http://www.ufcstats.com/fighter-details/6a2f7c151031653d
Brian Ortega,Brian Ortega,Max Holloway,0,1,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Brian Ortega,Brian Ortega,Chan Sung Jung,1,2,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Brian Ortega,Brian Ortega,Alexander Volkanovski,0,3,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Brian Ortega,Brian Ortega,Yair Rodriguez,0,4,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Brian Ortega,Brian Ortega,Yair Rodriguez,1,5,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Brian Ortega,Brian Ortega,Diego Lopes,0,6,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Gavin Tucker,Gavin Tucker,Ricky Glenn,0,1,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Gavin Tucker,Gavin Tucker,SeungWoo Choi,1,2,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Gavin Tucker,Gavin Tucker,Justin Jaynes,1,3,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Gavin Tucker,Gavin Tucker,Billy Quarantillo,1,4,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Gavin Tucker,Gavin Tucker,Dan Ige,0,5,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Gavin Tucker,Gavin Tucker,Diego Lopes,0,6,http://www.ufcstats.com/fighter-details/da816417a579a0bd
Movsar Evloev,Movsar Evloev,Nik Lentz,1,1,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Movsar Evloev,Movsar Evloev,Hakeem Dawodu,1,2,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Movsar Evloev,Movsar Evloev,Dan Ige,1,3,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Movsar Evloev,Movsar Evloev,Diego Lopes,1,4,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Movsar Evloev,Movsar Evloev,Arnold Allen,1,5,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Movsar Evloev,Movsar Evloev,Aljamain Sterling,1,6,http://www.ufcstats.com/fighter-details/76e2870ffafbe38f
Arnold Allen,Arnold Allen,Sodiq Yusuff,1,1,http://www.ufcstats.com/fighter-details/040a74bb0a465c54
